prop.true	m	n	d	pval	fdr.theo	fdr.actl
0.9	10000	16	1	0.03	0.00468848472955126	0.00529908862353677
0.9	10000	16	1	0.05	0.00705958570437555	0.00747486788633908
0.9	10000	16	1	0.1	0.0126332448607335	0.013728151453339
0.1	10000	16	2	0.001	0.00921722231930027	0.0103593781665879
0.1	10000	16	2	0.01	0.0827904648189618	0.0798359217052183
0.1	10000	16	2	0.03	0.212692891659816	0.196082650747596
0.1	10000	16	2	0.05	0.31039306166837	0.299095628435156
0.1	10000	16	2	0.1	0.473697249607171	0.463384131240572
0.3	10000	16	2	0.001	0.00240610457544168	0.00137351016202769
0.3	10000	16	2	0.01	0.0228665146269199	0.0193275441875521
0.3	10000	16	2	0.03	0.0654549962925736	0.0614206822508322
0.3	10000	16	2	0.05	0.104498691404808	0.0986140064869564
0.3	10000	16	2	0.1	0.189197211085285	0.185748077229379
0.5	10000	16	2	0.001	0.00103260752912868	0.000620747804317728
0.5	10000	16	2	0.01	0.00992964590671667	0.0108390435755419
0.5	10000	16	2	0.03	0.0291421958883723	0.0311805427886717
0.5	10000	16	2	0.05	0.0476292670281593	0.0496563347419014
0.5	10000	16	2	0.1	0.0909133897437874	0.0975022232601318
0.7	10000	16	2	0.001	0.000442807231190082	0.000445078186509465
0.7	10000	16	2	0.01	0.0042798589690967	0.00482568423420237
0.7	10000	16	2	0.03	0.0127010190365621	0.0144667971801995
0.7	10000	16	2	0.05	0.0209836288000772	0.0229975619684959
0.7	10000	16	2	0.1	0.0410979464329212	0.0429216330724156
0.9	10000	16	2	0.001	0.000114839583901898	0.0001154998391266
0.9	10000	16	2	0.01	0.00111312187992555	0.00138725032540977
0.9	10000	16	2	0.03	0.00332411661021448	0.00266113889756149
0.9	10000	16	2	0.05	0.00552609079451517	0.00488790523064787
0.9	10000	16	2	0.1	0.0109895765978254	0.0101464141583219
